input,output
Quero uma questão de ENEM sobre funções exponenciais.,"A função exponencial é caracterizada por ter a variável no expoente. Considere a função f(x) = 2^x. Essa função
é utilizada para modelar o crescimento populacional de uma cidade, onde inicialmente a cidade possui 1000 habitantes.
A cada ano, a população dobra. Qual será a população da cidade após 5 anos?
A) 32000 habitantes
B) 16000 habitantes
C) 64000 habitantes
D) 2000 habitantes"
Me envie uma questão de história sobre a Revolução Francesa.,"A Revolução Francesa, que teve início em 1789, foi um marco na história moderna, pois trouxe mudanças
significativas na estrutura política, social e econômica da França. Um dos eventos mais simbólicos desse período foi a
Queda da Bastilha, ocorrida em 14 de julho de 1789. A Bastilha era uma prisão estatal que simbolizava o poder absoluto
da monarquia francesa. A tomada deste local pelos revolucionários teve grande impacto na Revolução e é comemorada
até hoje na França como o Dia da Bastilha. Sobre a importância desse evento, assinale a alternativa correta.
A) A Queda da Bastilha resultou na imediata abdicação do rei Luís XVI.
B) A Queda da Bastilha marcou o início do fim do regime feudal na França.
C) A Queda da Bastilha foi um evento meramente simbólico, sem consequências práticas.
D) A Queda da Bastilha foi liderada exclusivamente pela burguesia francesa."
Pode gerar uma questão de física sobre leis de Newton?,"Um bloco de 10 kg está em repouso sobre uma superfície horizontal sem atrito. Uma força constante de 20 N é
aplicada horizontalmente sobre o bloco. Considerando a aceleração da gravidade como 10 m/s2, calcule a aceleração do
bloco.
A) 4 m/s2
B) 2 m/s2
C) 10 m/s2
D) 0,5 m/s2"
Quero uma questão de biologia sobre fotossíntese.,"A fotossíntese é um processo crucial para a vida na Terra, pois é responsável pela produção de oxigênio e pela
conversão de energia solar em energia química. Durante esse processo, as plantas absorvem dióxido de carbono e água,
liberando oxigênio como subproduto. A reação química simplificada da fotossíntese pode ser representada pela
equação: 6CO2 + 6H2O + luz solar → C6H12O6 + 6O2. Qual das seguintes opções descreve corretamente o papel da clorofila
na fotossíntese?
A) A clorofila é responsável por transportar água das raízes para as folhas.
B) A clorofila absorve a luz solar, que é utilizada para excitar elétrons e iniciar as reações químicas da fotossíntese.
C) A clorofila é um pigmento que armazena glicose nas células vegetais.
D) A clorofila absorve a luz solar e converte diretamente em glicose."
Gere uma questão de química sobre ligações químicas.,"As ligações químicas são fundamentais para a formação de compostos. Uma das principais características que
determinam o tipo de ligação química entre átomos é a diferença de eletronegatividade entre eles. Considere os
elementos sódio (Na) e cloro (Cl). Sabendo que o sódio tem uma eletronegatividade de 0,93 e o cloro de 3,16, qual é o
tipo de ligação que se forma entre eles no composto NaCl?
A) Ligação covalente polar
B) Ligação metálica
C) Ligação covalente apolar
D) Ligação iônica"
Quero uma questão de geografia sobre mudanças climáticas.,"As mudanças climáticas têm gerado impactos significativos em diversas regiões do planeta. Uma das
consequências mais visíveis é o aumento do nível do mar, que ameaça diretamente comunidades costeiras. Qual dos
seguintes fatores é a principal causa do aumento do nível do mar?
A) Desmatamento em áreas tropicais
B) Aumento da atividade sísmica submarina
C) Construção de barragens e represas
D) Derretimento das geleiras e calotas polares"
Manda uma questão de sociologia sobre desigualdade social.,"A desigualdade social é um fenômeno que pode ser observado em várias sociedades ao redor do mundo,
manifestando-se de diferentes formas. Em relação à desigualdade social no Brasil, considere o seguinte trecho:
""O Brasil é um dos países com maior desigualdade de renda no mundo. Apesar do crescimento econômico nas últimas
décadas, as disparidades entre ricos e pobres continuam a ser um desafio significativo para o desenvolvimento social e
econômico do país.""
Com base no contexto apresentado, qual das alternativas abaixo NÃO é uma consequência direta da desigualdade social
no Brasil?
A) Desigualdade no acesso a serviços de saúde
B) Dificuldade de acesso à educação de qualidade
C) Crescimento econômico acelerado
D) Aumento da violência urbana"
Me dá uma questão de filosofia sobre Sócrates.,"Sócrates, um dos fundadores da filosofia ocidental, é conhecido por sua contribuição ao desenvolvimento do
método dialético, também conhecido como método socrático. Esse método é caracterizado por uma forma específica de
diálogo. Qual das alternativas abaixo melhor descreve o método socrático?
A) Um sistema de debate onde o vencedor é aquele que apresenta a maior quantidade de argumentos.
B) Uma técnica de diálogo que busca a verdade por meio de perguntas e respostas que estimulam o pensamento crítico.
C) Um processo de ensino que utiliza apenas textos escritos como principal ferramenta de aprendizado.
D) Um método de ensino baseado na memorização e repetição de informações."
Quero uma questão de português sobre análise sintática.,"Leia a frase abaixo e responda à questão a seguir:
""A professora entregou os trabalhos corrigidos aos alunos na última aula.""
Na frase apresentada, qual é a função sintática do termo ""aos alunos""?
A) Objeto direto
B) Sujeito
C) Objeto indireto
D) Adjunto adverbial"
Gera uma questão de matemática sobre probabilidade.,"Uma urna contém 5 bolas vermelhas, 3 bolas azuis e 2 bolas verdes. Se uma bola é retirada aleatoriamente da
urna, qual é a probabilidade de que seja uma bola azul?
A) 0,2
B) 0,5
C) 0,1
D) 0,3"
